text,label
AI will kill all human beings in next ten years,Fake
NASA announces new mission to Mars in 2027 with SpaceX rocket,Real
Scientists discover new species of frog in Amazon rainforest,Real
Bitcoin price crashes 20% after new government regulation,Real
Apple releases iPhone 16 with new AI features and better camera,Real
Local football team wins championship after 10 years,Real
Government passes new tax law for small businesses,Real
WHO declares new health guidelines for diabetes patients,Real
Microsoft launches new AI tool for developers worldwide,Real
Pakistan Stock Exchange closes at record high today,Real
UN holds climate summit in Dubai to discuss carbon emissions,Real
Tesla unveils new electric truck with 500 mile range,Real
FIFA announces World Cup 2026 host cities in USA Mexico Canada,Real
Google releases Android 15 with privacy updates,Real
Doctors recommend 8 hours of sleep for better health,Real
IMF approves new loan package for developing countries,Real
NASA telescope captures image of distant galaxy,Real
Pakistani cricket team wins Asia Cup final,Real
Supreme Court issues new ruling on property rights,Real
New study shows benefits of Mediterranean diet,Real
Amazon announces Prime Day sale next month,Real
World Bank funds new school project in rural areas,Real
Meta announces new VR headset with eye tracking,Real
Oil prices drop 5% due to increased production,Real
New bullet train project approved between Lahore and Karachi,Real
Researchers develop battery that charges in 5 minutes,Real
Netflix adds 10 million subscribers in last quarter,Real
Government launches free laptop scheme for students,Real
SpaceX successfully lands rocket on floating platform,Real
New cancer treatment shows 90% success rate in trials,Real
UNICEF reports 20% decrease in child mortality,Real
Toyota recalls 1 million cars for safety check,Real
Champions League final to be held in London stadium,Real
YouTube introduces new monetization rules for creators,Real
Pakistan wins gold medal in Asian Games,Real
New airport terminal opens in Islamabad,Real
Study finds remote work increases productivity,Real
Adobe releases new version of Photoshop with AI tools,Real
Government increases minimum wage by 15%,Real
Scientists find water traces on moon surface,Real
Samsung launches new foldable phone with better battery,Real
OPEC decides to cut oil production next month,Real
New metro bus route starts in Karachi,Real
World Health Organization approves new vaccine,Real
Spotify reaches 500 million monthly users,Real
Farmers protest leads to new agricultural policy,Real
NASA finds signs of ancient river on Mars,Real
New cybersecurity law passed by parliament,Real
Electric vehicle sales double compared to last year,Real
UN peacekeepers deployed to conflict zone,Real
New bridge connecting two cities inaugurated,Real
Google AI beats human in coding competition,Real
Government announces tax relief for solar panels,Real
New species of whale discovered in Pacific Ocean,Real
Central bank keeps interest rates unchanged,Real
Olympics 2028 host city announced as Los Angeles,Real
New treatment for Alzheimer's shows promising results,Real
Twitter rebrands to X with new features,Real
Pakistan exports reach record 30 billion dollars,Real
Scientists create artificial leaf that produces oxygen,Real
New public park opens in city center,Real
Facebook introduces new privacy controls,Real
Government invests 2 billion in education sector,Real
New drug approved for treating migraine,Real
Space station crew returns safely to Earth,Real
Renewable energy reaches 40% of total production,Real
